,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,IFEval,BBH,MATH,GPQA,MuSR,MMLU-Pro
ARC,1.0,0.834,0.629,0.672,0.786,0.631,0.467,0.62,0.523,0.478,0.391,0.585
HellaSwag,0.834,1.0,0.566,0.63,0.807,0.558,0.418,0.56,0.458,0.443,0.371,0.522
MMLU,0.629,0.566,1.0,0.466,0.603,0.649,0.459,0.705,0.684,0.635,0.352,0.833
TruthfulQA,0.672,0.63,0.466,1.0,0.555,0.514,0.463,0.492,0.432,0.385,0.36,0.447
Winogrande,0.786,0.807,0.603,0.555,1.0,0.576,0.376,0.581,0.465,0.466,0.385,0.54
GSM8K,0.631,0.558,0.649,0.514,0.576,1.0,0.471,0.602,0.673,0.46,0.342,0.608
IFEval,0.467,0.418,0.459,0.463,0.376,0.471,1.0,0.447,0.466,0.384,0.26,0.478
BBH,0.62,0.56,0.705,0.492,0.581,0.602,0.447,1.0,0.632,0.594,0.425,0.734
MATH,0.523,0.458,0.684,0.432,0.465,0.673,0.466,0.632,1.0,0.543,0.339,0.708
GPQA,0.478,0.443,0.635,0.385,0.466,0.46,0.384,0.594,0.543,1.0,0.371,0.672
MuSR,0.391,0.371,0.352,0.36,0.385,0.342,0.26,0.425,0.339,0.371,1.0,0.385
MMLU-Pro,0.585,0.522,0.833,0.447,0.54,0.608,0.478,0.734,0.708,0.672,0.385,1.0
