,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,IFEval,BBH,MATH,GPQA,MuSR,MMLU-Pro
ARC,0.0,0.166,0.371,0.328,0.214,0.369,0.533,0.38,0.477,0.522,0.609,0.415
HellaSwag,0.166,0.0,0.434,0.37,0.193,0.442,0.582,0.44,0.542,0.557,0.629,0.478
MMLU,0.371,0.434,0.0,0.534,0.397,0.351,0.541,0.295,0.316,0.365,0.648,0.167
TruthfulQA,0.328,0.37,0.534,0.0,0.445,0.486,0.537,0.508,0.568,0.615,0.64,0.553
Winogrande,0.214,0.193,0.397,0.445,0.0,0.424,0.624,0.419,0.535,0.534,0.615,0.46
GSM8K,0.369,0.442,0.351,0.486,0.424,0.0,0.529,0.398,0.327,0.54,0.658,0.392
IFEval,0.533,0.582,0.541,0.537,0.624,0.529,0.0,0.553,0.534,0.616,0.74,0.522
BBH,0.38,0.44,0.295,0.508,0.419,0.398,0.553,0.0,0.368,0.406,0.575,0.266
MATH,0.477,0.542,0.316,0.568,0.535,0.327,0.534,0.368,0.0,0.457,0.661,0.292
GPQA,0.522,0.557,0.365,0.615,0.534,0.54,0.616,0.406,0.457,0.0,0.629,0.328
MuSR,0.609,0.629,0.648,0.64,0.615,0.658,0.74,0.575,0.661,0.629,0.0,0.615
MMLU-Pro,0.415,0.478,0.167,0.553,0.46,0.392,0.522,0.266,0.292,0.328,0.615,0.0
