benchmark,n_items,top1,topk_spread,FDR_median,FDR_min,sep_at_2sigma,adjacent_pairs
ARC,1172,0.7986,0.0495,0.101,0.0,0,9
HellaSwag,10042,0.9275,0.0334,0.832,0.0,1,9
MMLU,14042,0.856,0.0621,0.182,0.018,2,9
TruthfulQA,817,0.792,0.0107,0.023,0.0,0,9
Winogrande,1267,0.884,0.0174,0.12,0.0,0,9
GSM8K,1319,0.8741,0.0637,0.449,0.0,0,9
IFEval,541,0.8099,0.0691,0.265,0.01,0,9
BBH,6511,0.6617,0.0244,0.288,0.045,0,9
MATH,1324,0.3112,0.0785,0.455,0.09,0,9
GPQA,1192,0.3977,0.0344,0.127,0.043,0,9
MuSR,756,0.513,0.027,0.092,0.013,0,9
MMLU-Pro,12032,0.5731,0.087,0.556,0.052,2,9
