bench_a,bench_b,tau_b,DD
ARC,HellaSwag,0.834,0.166
MMLU,MMLU-Pro,0.833,0.167
HellaSwag,Winogrande,0.807,0.193
ARC,Winogrande,0.786,0.214
BBH,MMLU-Pro,0.734,0.266
MATH,MMLU-Pro,0.708,0.292
MMLU,BBH,0.705,0.295
MMLU,MATH,0.684,0.316
GSM8K,MATH,0.673,0.327
ARC,TruthfulQA,0.672,0.328
GPQA,MMLU-Pro,0.672,0.328
MMLU,GSM8K,0.649,0.351
MMLU,GPQA,0.635,0.365
BBH,MATH,0.632,0.368
ARC,GSM8K,0.631,0.369
HellaSwag,TruthfulQA,0.63,0.37
ARC,MMLU,0.629,0.371
ARC,BBH,0.62,0.38
GSM8K,MMLU-Pro,0.608,0.392
MMLU,Winogrande,0.603,0.397
GSM8K,BBH,0.602,0.398
BBH,GPQA,0.594,0.406
ARC,MMLU-Pro,0.585,0.415
Winogrande,BBH,0.581,0.419
Winogrande,GSM8K,0.576,0.424
HellaSwag,MMLU,0.566,0.434
HellaSwag,BBH,0.56,0.44
HellaSwag,GSM8K,0.558,0.442
TruthfulQA,Winogrande,0.555,0.445
MATH,GPQA,0.543,0.457
Winogrande,MMLU-Pro,0.54,0.46
ARC,MATH,0.523,0.477
HellaSwag,MMLU-Pro,0.522,0.478
TruthfulQA,GSM8K,0.514,0.486
TruthfulQA,BBH,0.492,0.508
IFEval,MMLU-Pro,0.478,0.522
ARC,GPQA,0.478,0.522
GSM8K,IFEval,0.471,0.529
ARC,IFEval,0.467,0.533
IFEval,MATH,0.466,0.534
Winogrande,GPQA,0.466,0.534
MMLU,TruthfulQA,0.466,0.534
Winogrande,MATH,0.465,0.535
TruthfulQA,IFEval,0.463,0.537
GSM8K,GPQA,0.46,0.54
MMLU,IFEval,0.459,0.541
HellaSwag,MATH,0.458,0.542
TruthfulQA,MMLU-Pro,0.447,0.553
IFEval,BBH,0.447,0.553
HellaSwag,GPQA,0.443,0.557
TruthfulQA,MATH,0.432,0.568
BBH,MuSR,0.425,0.575
HellaSwag,IFEval,0.418,0.582
ARC,MuSR,0.391,0.609
Winogrande,MuSR,0.385,0.615
TruthfulQA,GPQA,0.385,0.615
MuSR,MMLU-Pro,0.385,0.615
IFEval,GPQA,0.384,0.616
Winogrande,IFEval,0.376,0.624
HellaSwag,MuSR,0.371,0.629
GPQA,MuSR,0.371,0.629
TruthfulQA,MuSR,0.36,0.64
MMLU,MuSR,0.352,0.648
GSM8K,MuSR,0.342,0.658
MATH,MuSR,0.339,0.661
IFEval,MuSR,0.26,0.74
